Individual no.,Species,Population,Latency (approach novel mouse),Duration (exploration - novel mouse),Latency (approach familiar mouse),Duration (exploration - familiar mouse),,,Latency (female 1),Duration (female 1),
1,R. pumilio,Goegap,10,51.2,5,61,,,11,44.3,
2,R. pumilio,Goegap,3,43.2,11,41.13,,,5,43.2,
3,R. pumilio,Goegap,4,53.4,3,33.5,,,5,39.7,
4,R. pumilio,Goegap,3,53.4,4,62.3,,,6,4.3,
5,R. pumilio,Goegap,2,44.5,3,63.5,,,10,49.1,
6,R. pumilio,Goegap,3,59.2,5,103.2,,,11,43.9,
7,R. pumilio,Goegap,4,62.3,4,63.5,,,3,8.3,
8,R. pumilio,Goegap,5,54.2,6,92.1,,,22,54.2,
9,R. pumilio,Goegap,3,59.3,5,60.3,,,5,19.2,
10,R. pumilio,Goegap,9,58.3,4,70.3,,,4,42.3,
11,R. pumilio,Goegap,4,54.3,6,89.1,,,7,45.4,
12,R. pumilio,Goegap,3,94.3,4,91.3,,,10,90.2,
13,R. pumilio,Jonkershoek,3,54.3,3,45.4,,,11,34.2,
14,R. pumilio,Jonkershoek,3,45.2,2,98.3,,,12,23.5,
15,R. pumilio,Jonkershoek,11,49.8,4,67.3,,,11,66.3,
16,R. pumilio,Jonkershoek,4,52.2,3,77.2,,,11,70.1,
17,R. pumilio,Jonkershoek,3,89.34,1,65.4,,,4,43,
18,R. pumilio,Jonkershoek,2,66.9,3,54.3,,,5,32.2,
19,R. pumilio,Jonkershoek,5,98.2,2,33.4,,,6,11.2,
20,R. pumilio,Jonkershoek,3,30.1,10,39.3,,,9,21.1,
21,R. pumilio,Jonkershoek,1,43.2,3,43.1,,,10,32.2,
22,R. pumilio,Jonkershoek,4,65.3,2,100.3,,,9,87.2,
23,R. pumilio,Jonkershoek,4,69.1,4,99.3,,,8,21.2,
24,R. pumilio,Jonkershoek,11,35.3,11,11.1,,,9,23.3,
25,R. d. chakae,Willem Pretorius,8,41.3,4,24.3,,,9,34.2,
26,R. d. chakae,Willem Pretorius,7,15.4,5,14.3,,,10,11.1,
27,R. d. chakae,Willem Pretorius,3,13.2,6,3,,,7,5.1,
28,R. d. chakae,Willem Pretorius,19,11.3,3,33.2,,,23,13.2,
29,R. d. chakae,Willem Pretorius,11,0,9,24.3,,,12,23,
30,R. d. chakae,Willem Pretorius,8,0,4,33.2,,,8,34.2,
31,R. d. chakae,Willem Pretorius,9,15.4,5,13.2,,,18,13.2,
32,R. d. chakae,Willem Pretorius,13,11.3,4,6.5,,,13,6.5,
33,R. d. chakae,Willem Pretorius,14,11,6,11.9,,,21,13.1,
34,R. d. chakae,Willem Pretorius,8,4.3,4,13.2,,,10,9.2,
35,R. d. chakae,Willem Pretorius,9,10.2,11,15.4,,,11,13.2,
36,R. d. chakae,Willem Pretorius,10,13.2,6,13.2,,,11,4.3,
37,R. d. chakae,Suikerbosrand,9,14.3,9,33.4,,,12,12.3,
38,R. d. chakae,Suikerbosrand,11,0,14,26.5,,,13,13.2,
39,R. d. chakae,Suikerbosrand,8,13.3,11,19.2,,,10,11.2,
40,R. d. chakae,Suikerbosrand,9,14.1,8,18.2,,,13,14.3,
41,R. d. chakae,Suikerbosrand,11,3.2,3,29.1,,,10,21.1,
42,R. d. chakae,Suikerbosrand,9,4.3,4,28.2,,,12,17.2,
43,R. d. chakae,Suikerbosrand,10,3,9,30.1,,,8,18.2,
44,R. d. chakae,Suikerbosrand,12,3.2,11,33.2,,,20,14.3,
45,R. d. chakae,Suikerbosrand,13,4.3,7,44.3,,,12,23.2,
46,R. d. chakae,Suikerbosrand,4,11.2,3,9.1,,,8,4.3,
47,R. d. chakae,Suikerbosrand,8,32.2,10,14.3,,,9,11,
48,R. d. chakae,Suikerbosrand,7,11.2,3,18.3,,,11,4.3,
,,,,,,,,,,,
,,,,,,,,,,,
all females in oestrrous,,,,,,,,,,,
Aggression seen in 5% of experiments and not considered here,,,,,,,,,,,
